Genre,Reports,Age,GPA,Year,Count,Gender,Nationality,Resolution
Health and Well-being Support,The lack of mental health resources on campus is really disappointing. It's hard to feel supported when there are so few options for care.,16,3.09,4,1,M,France,Expand mental health resources on campus by hiring additional counselors and offering free or low-cost therapy sessions.
Health and Well-being Support,I've had to choose between paying for necessary medical treatment and paying for other expenses like rent and groceries. It's not a decision anyone should have to make.,21,3.32,2,1,F,France,Establish a financial assistance program to help students cover medical expenses and reduce the burden of choosing between healthcare and basic needs.
Health and Well-being Support,I wish there were more options for free or low-cost mental health care. It's hard to afford something that's so essential to our well-being.,20,1.24,2,1,F,France,Create a wellness fund to provide free or subsidized mental health care for students in need.
Health and Well-being Support,Dealing with medical bills and insurance claims is a full-time job.,18,0.19,2,1,F,France,Introduce workshops on navigating medical bills and insurance claims to help students manage healthcare-related paperwork efficiently.
International student experiences,"1. As an international student, I find it difficult to communicate with my peers because of the language barrier. It's frustrating because I want to be involved in group projects and extracurricular activities, but I struggle to express myself properly.",23,4.0,1,1,M,France,Launch a language exchange program to help international students improve their communication skills and connect with peers.
International student experiences,2. I feel like there is a cultural gap between me and my classmates. Sometimes I don't understand the references they make or the way they approach certain topics. It makes it hard to feel like I'm truly part of the community.,21,1.38,2,1,M,France,Organize cultural competency training for domestic students to foster understanding and inclusivity for international students.
International student experiences,"3. I wish there were more opportunities for international students to connect with each other. It can be comforting to talk to someone who understands the unique challenges we face, and it would help us feel less isolated.",21,1.48,5,1,F,France,Create international student support groups to provide a safe space for sharing experiences and building connections.
International student experiences,"4. I appreciate the efforts the university makes to provide resources for international students, but sometimes they don't go far enough. I wish there were more language support services and cultural events to help us feel more at home.",24,1.74,3,1,F,France,"Expand language support services, including tutoring and conversation practice, to help international students improve fluency."
International student experiences,"5. I struggle to participate in class discussions because I'm not confident in my language skills. It's frustrating because I feel like I have a lot to contribute, but I'm held back by my lack of fluency.",21,2.82,2,1,F,France,Offer workshops on overcoming language barriers and building confidence in academic and social settings.
International student experiences,"6. I wish there were more opportunities for cultural exchange on campus. It would be great to learn more about the backgrounds and experiences of my fellow students, and to share my own culture with them.",18,0.74,4,1,F,France,Host regular cultural events to celebrate diversity and encourage interaction between international and domestic students.
International student experiences,7. It's hard to make friends as an international student because of the language and cultural barriers. I feel like I'm missing out on a lot of the social aspects of university life.,19,1.91,4,1,M,France,Establish a buddy system where international students are paired with domestic students for social and academic support.
International student experiences,"8. I appreciate the efforts of my professors to make the material accessible to international students, but sometimes it still feels like there's a divide between us and the domestic students.",20,0.19,5,1,M,France,Provide training for professors on the challenges faced by international students to ensure inclusive teaching practices.
International student experiences,9. I wish there were more support systems in place for international students who are struggling to adjust. It can be overwhelming to navigate a new country and culture on your own.,18,3.58,1,1,F,France,Develop a peer support network for international students to share tips and advice on adjusting to campus life.
International student experiences,10. I've had some negative experiences with other students who seem impatient or dismissive of my language difficulties. It's disheartening and makes me feel like an outsider.,18,2.95,2,1,M,France,Create a cultural awareness campaign to educate the campus community about the challenges faced by international students.
International student experiences,"11. I feel like I have to work twice as hard as other students just to keep up. It's exhausting and stressful, and sometimes I wonder if it's even worth it.",20,1.01,3,1,F,France,Offer workshops on time management and study skills tailored to the needs of international students.
International student experiences,12. I wish there were more opportunities for language practice outside of the classroom. It's hard to improve my skills when I don't have many chances to speak with native speakers.,27,3.55,4,1,M,France,Create a peer-led language practice program to help international students improve their speaking and listening skills.
International student experiences,13. Sometimes I feel like my professors don't fully understand the challenges I face as an international student. I wish there were more opportunities for them to hear our perspectives and concerns.,23,1.2,4,1,F,France,Host regular town hall meetings for international students to voice their concerns and suggest improvements.
International student experiences,"14. I worry that my language difficulties will hold me back in my future career. It's frustrating to think that I might be judged more harshly than native speakers, even if I'm just as qualified.",19,2.04,1,1,F,France,"Create a career support program for international students, including resume building and interview preparation in multiple languages."
International student experiences,"15. I appreciate the diversity on campus, but sometimes it feels like there's a lack of understanding between different cultural groups. I wish there were more opportunities for us to come together and learn from each other.",16,2.14,1,1,M,France,"Develop a cultural exchange program where students can share their traditions, food, and customs with the campus community."
International student experiences,16. I feel like my language difficulties sometimes make me seem less intelligent or capable than I really am. It's frustrating to feel like I'm not being judged fairly.,20,3.47,5,1,F,France,Provide leadership training and opportunities specifically for international students to help them develop skills and contribute to campus life.
International student experiences,17. I wish there were more opportunities for international students to get involved in leadership positions on campus. It would be a great way to develop our skills and contribute to the university community.,17,1.59,5,1,M,France,Organize networking events tailored to international students to help them build professional connections.
International student experiences,18. It can be hard to navigate the social norms of a new culture. I've had some embarrassing moments where I didn't realize I was being rude or disrespectful.,20,1.82,3,1,M,France,Offer workshops on navigating cultural differences and social norms to help international students feel more comfortable.
International student experiences,19. I worry that my language difficulties will make it hard for me to network and make professional connections. It's frustrating to feel like I'm at a disadvantage compared to native speakers.,16,1.73,2,1,F,France,Organize career fairs specifically for international students to connect them with employers who value diverse perspectives.
International student experiences,"1. As an international student, I find it difficult to connect with my peers who speak a different language and have different cultural backgrounds than me. It's challenging to navigate social situations and form meaningful relationships.",19,0.44,2,1,M,France,Introduce a buddy system where international students are paired with domestic students for social and academic support.
International student experiences,2. I wish the university offered more resources and support for international students who are struggling to communicate and connect with others. It can be isolating and overwhelming to be in a foreign country without a strong support system.,18,3.33,3,1,M,France,Expand counseling services to include support for international students adjusting to a new culture and academic environment.
International student experiences,3. I feel like I'm missing out on a lot of social opportunities because I struggle to communicate with other students who don't speak my language. It's frustrating and discouraging.,26,1.7,2,1,F,France,Host regular social events specifically for international students to help them build friendships and feel less isolated.
